User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement
100292,School13,6,Reading,627,Mid 6
100416,School10,3,Reading,563,Late 3
100426,School1,3,Reading,575,Late 3
100775,School1,3,Reading,537,Early 3
100863,School13,8,Reading,523,Grade 3
101420,School7,8,Reading,585,Grade 6
101610,School7,7,Reading,613,Early 7
101715,School7,8,Reading,643,Mid 8
101873,School6,3,Reading,558,Mid 3
102638,School13,8,Reading,608,Grade 7
102761,School7,8,Reading,580,Grade 5
102774,School13,6,Reading,614,Early 6
103229,School7,7,Reading,584,Grade 6
103248,School7,6,Reading,576,Grade 5
103554,School5,5,Reading,638,Late 5
103606,School1,4,Reading,646,Grade 6
103933,School8,6,Reading,617,Mid 6
104056,School7,6,Reading,645,Late 6
104081,School7,6,Reading,417,Grade K
104224,School10,3,Reading,544,Early 3
104268,School13,7,Reading,589,Grade 6
104342,School3,5,Reading,461,Grade 1
104714,School1,3,Reading,578,Late 3
105187,School7,6,Reading,551,Grade 4
105273,School7,8,Reading,543,Grade 4
106054,School15,4,Reading,461,Grade 1
106206,School8,6,Reading,635,Mid 6
106523,School15,5,Reading,547,Grade 4
107053,School7,8,Reading,628,Early 8
107336,School8,7,Reading,613,Early 7
107824,School11,4,Reading,548,Grade 3
108733,School8,6,Reading,624,Mid 6
109174,School7,7,Reading,630,Early 7
109445,School6,3,Reading,606,Grade 4
109762,School7,7,Reading,594,Grade 6
109965,School13,8,Reading,492,Grade 2
110529,School10,3,Reading,567,Late 3
110777,School7,6,Reading,684,Grade 8
112228,School11,4,Reading,505,Grade 3
112477,School14,5,Reading,507,Grade 3
112496,School11,5,Reading,544,Grade 4
113115,School1,4,Reading,484,Grade 2
113566,School1,3,Reading,538,Early 3
113931,School14,3,Reading,463,Grade 1
114148,School7,6,Reading,575,Grade 5
114513,School10,4,Reading,477,Grade 2
114892,School14,3,Reading,565,Late 3
115042,School8,8,Reading,458,Grade 1
115265,School7,7,Reading,579,Grade 5
115492,School7,8,Reading,651,Mid 8
115507,School8,8,Reading,608,Grade 7
115723,School8,6,Reading,688,Grade 9
116129,School8,8,Reading,595,Grade 7
116672,School12,5,Reading,513,Grade 3
116790,School7,7,Reading,620,Early 7
