User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement,iReady_Placement
515628,School12,2,Reading,619,Grade,4
881624,School15,2,Reading,465,Grade,1
100416,School10,3,Reading,563,Late,3
100426,School1,3,Reading,575,Late,3
100775,School1,3,Reading,537,Early,3
101873,School6,3,Reading,558,Mid,3
104224,School10,3,Reading,544,Early,3
104714,School1,3,Reading,578,Late,3
109445,School6,3,Reading,606,Grade,4
110529,School10,3,Reading,567,Late,3
113566,School1,3,Reading,538,Early,3
113931,School14,3,Reading,463,Grade,1
114892,School14,3,Reading,565,Late,3
118790,School5,3,Reading,517,Early,3
120613,School1,3,Reading,555,Mid,3
122038,School9,3,Reading,481,Grade,2
125136,School10,3,Reading,520,Early,3
129210,School15,3,Reading,474,Grade,2
130194,School5,3,Reading,567,Late,3
132228,School3,3,Reading,532,Early,3
133788,School11,3,Reading,570,Late,3
135387,School14,3,Reading,620,Grade,4
135626,School12,3,Reading,575,Late,3
143585,School14,3,Reading,563,Late,3
151253,School15,3,Reading,494,Grade,2
152933,School11,3,Reading,537,Early,3
153184,School11,3,Reading,636,Grade,5
154939,School6,3,Reading,568,Late,3
156392,School12,3,Reading,596,Late,3
157153,School11,3,Reading,499,Grade,2
157196,School10,3,Reading,528,Early,3
158370,School15,3,Reading,643,Grade,6
158854,School11,3,Reading,631,Grade,5
158911,School5,3,Reading,607,Grade,4
165587,School1,3,Reading,639,Grade,5
166350,School11,3,Reading,586,Late,3
166469,School10,3,Reading,551,Mid,3
166831,School11,3,Reading,651,Grade,6
167858,School14,3,Reading,617,Grade,4
168018,School11,3,Reading,591,Late,3
169905,School10,3,Reading,537,Early,3
170329,School3,3,Reading,513,Early,3
171466,School5,3,Reading,486,Grade,2
172623,School5,3,Reading,602,Late,3
176523,School15,3,Reading,570,Late,3
178166,School14,3,Reading,633,Grade,5
178251,School10,3,Reading,468,Grade,1
179913,School10,3,Reading,484,Grade,2
180417,School14,3,Reading,491,Grade,2
182351,School12,3,Reading,628,Grade,4
185284,School5,3,Reading,665,Grade,6
188065,School6,3,Reading,481,Grade,2
190202,School6,3,Reading,521,Early,3
190885,School11,3,Reading,638,Grade,5
192798,School11,3,Reading,573,Late,3
193023,School2,3,Reading,522,Early,3
193272,School10,3,Reading,564,Late,3
194957,School12,3,Reading,534,Early,3
195441,School11,3,Reading,446,Grade,1
196950,School15,3,Reading,508,Grade,2
201099,School6,3,Reading,525,Early,3
201826,School10,3,Reading,562,Late,3
202061,School5,3,Reading,550,Mid,3
202244,School6,3,Reading,556,Mid,3
206299,School11,3,Reading,616,Grade,4
207475,School5,3,Reading,508,Grade,2
213879,School11,3,Reading,469,Grade,1
214055,School11,3,Reading,666,Grade,6
214102,School6,3,Reading,523,Early,3
215695,School1,3,Reading,567,Late,3
219102,School15,3,Reading,460,Grade,1
219603,School1,3,Reading,552,Mid,3
219800,School15,3,Reading,569,Late,3
220938,School12,3,Reading,490,Grade,2
221600,School1,3,Reading,561,Late,3
224016,School2,3,Reading,488,Grade,2
227382,School6,3,Reading,557,Mid,3
227866,School6,3,Reading,537,Early,3
234189,School1,3,Reading,503,Grade,2
236165,School1,3,Reading,401,Grade,0
238101,School6,3,Reading,517,Early,3
238367,School6,3,Reading,521,Early,3
245482,School11,3,Reading,628,Grade,4
249387,School12,3,Reading,503,Grade,2
255074,School14,3,Reading,546,Mid,3
255905,School6,3,Reading,627,Grade,4
259422,School15,3,Reading,508,Grade,2
264757,School12,3,Reading,456,Grade,1
265764,School12,3,Reading,522,Early,3
268724,School11,3,Reading,501,Grade,2
268779,School14,3,Reading,542,Early,3
272881,School5,3,Reading,547,Mid,3
273001,School1,3,Reading,543,Early,3
273756,School15,3,Reading,542,Early,3
277607,School10,3,Reading,469,Grade,1
289465,School3,3,Reading,420,Grade,1
290272,School10,3,Reading,589,Late,3
297105,School14,3,Reading,503,Grade,2
298805,School10,3,Reading,511,Early,3
299803,School1,3,Reading,531,Early,3
301287,School14,3,Reading,632,Grade,5
307016,School11,3,Reading,646,Grade,6
307438,School14,3,Reading,542,Early,3
311649,School6,3,Reading,469,Grade,1
311924,School1,3,Reading,533,Early,3
315585,School14,3,Reading,567,Late,3
316892,School5,3,Reading,565,Late,3
317559,School16,3,Reading,607,Grade,4
322417,School5,3,Reading,491,Grade,2
322828,School15,3,Reading,535,Early,3
327193,School5,3,Reading,577,Late,3
329093,School6,3,Reading,466,Grade,1
330097,School11,3,Reading,649,Grade,6
333573,School11,3,Reading,658,Grade,6
333685,School11,3,Reading,572,Late,3
333709,School15,3,Reading,496,Grade,2
333807,School10,3,Reading,538,Early,3
334089,School15,3,Reading,547,Mid,3
334998,School10,3,Reading,506,Grade,2
335032,School6,3,Reading,555,Mid,3
339801,School14,3,Reading,573,Late,3
345669,School14,3,Reading,550,Mid,3
348241,School10,3,Reading,499,Grade,2
349418,School3,3,Reading,517,Early,3
349855,School10,3,Reading,521,Early,3
350510,School6,3,Reading,556,Mid,3
350922,School14,3,Reading,617,Grade,4
352733,School11,3,Reading,570,Late,3
360717,School11,3,Reading,624,Grade,4
360767,School11,3,Reading,643,Grade,6
363626,School5,3,Reading,576,Late,3
367115,School12,3,Reading,579,Late,3
369642,School10,3,Reading,642,Grade,6
374677,School10,3,Reading,512,Early,3
375736,School14,3,Reading,513,Early,3
376960,School5,3,Reading,524,Early,3
379120,School5,3,Reading,484,Grade,2
380258,School12,3,Reading,574,Late,3
380343,School1,3,Reading,501,Grade,2
381771,School11,3,Reading,581,Late,3
383549,School1,3,Reading,638,Grade,5
383711,School11,3,Reading,593,Late,3
386777,School14,3,Reading,515,Early,3
388959,School6,3,Reading,525,Early,3
389388,School14,3,Reading,574,Late,3
391150,School11,3,Reading,648,Grade,6
396269,School11,3,Reading,569,Late,3
399194,School11,3,Reading,486,Grade,2
402263,School6,3,Reading,490,Grade,2
403619,School12,3,Reading,629,Grade,4
404523,School5,3,Reading,569,Late,3
409516,School12,3,Reading,564,Late,3
416027,School14,3,Reading,565,Late,3
418369,School10,3,Reading,515,Early,3
420528,School12,3,Reading,564,Late,3
426770,School6,3,Reading,527,Early,3
427839,School11,3,Reading,581,Late,3
429168,School14,3,Reading,560,Mid,3
431554,School5,3,Reading,491,Grade,2
431849,School11,3,Reading,474,Grade,2
432774,School15,3,Reading,486,Grade,2
436156,School5,3,Reading,623,Grade,4
436747,School1,3,Reading,594,Late,3
438800,School6,3,Reading,471,Grade,1
440662,School6,3,Reading,596,Late,3
441254,School14,3,Reading,558,Mid,3
442165,School11,3,Reading,561,Late,3
445829,School5,3,Reading,523,Early,3
450481,School5,3,Reading,586,Late,3
450588,School14,3,Reading,518,Early,3
453671,School6,3,Reading,554,Mid,3
459593,School6,3,Reading,551,Mid,3
465437,School14,3,Reading,562,Late,3
467356,School6,3,Reading,569,Late,3
468058,School6,3,Reading,545,Mid,3
470063,School11,3,Reading,625,Grade,4
471579,School3,3,Reading,515,Early,3
475254,School12,3,Reading,515,Early,3
478570,School14,3,Reading,423,Grade,1
481472,School12,3,Reading,535,Early,3
